               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.096735,             0.19164,             0.01055,             0.12201,             0.47898,             0.31958,             0.33367,              0.1369,            0.092089,             0.27129,            0.012674,             0.11076,           0.0072361,           0.0072361,           0.0072361
                  82,            0.096557,             0.20684,            0.010276,             0.12124,             0.51594,             0.33365,             0.33502,             0.14479,            0.091931,             0.26951,            0.012867,             0.10982,           0.0071762,           0.0071762,           0.0071762
                  83,            0.096966,             0.18558,            0.010254,             0.11929,             0.35566,             0.34186,             0.32633,             0.14059,            0.092302,             0.27052,            0.013111,              0.1097,            0.007116,            0.007116,            0.007116
                  84,            0.096017,             0.18412,            0.010352,             0.12042,             0.53451,             0.33135,             0.33265,             0.13982,            0.092927,             0.26753,            0.012573,             0.10927,           0.0070555,           0.0070555,           0.0070555
                  85,            0.097501,             0.20095,            0.010429,             0.12148,             0.55929,             0.34793,             0.34807,             0.16126,            0.090663,             0.26986,            0.013254,             0.10952,           0.0069948,           0.0069948,           0.0069948
                  86,            0.097179,             0.20422,           0.0094681,             0.11898,             0.57006,             0.33642,             0.34918,             0.14747,            0.089026,              0.2713,             0.01212,             0.10928,           0.0069338,           0.0069338,           0.0069338
                  87,            0.096616,             0.17924,           0.0099223,             0.11923,             0.51699,             0.33779,             0.33939,              0.1464,            0.090791,             0.27399,            0.012868,             0.10934,           0.0068726,           0.0068726,           0.0068726
                  88,            0.096762,             0.18866,            0.009283,                0.12,             0.55155,             0.33915,             0.35247,             0.15407,             0.09036,             0.26813,            0.012169,             0.10909,           0.0068111,           0.0068111,           0.0068111
                  89,            0.096024,             0.18926,           0.0098691,             0.11941,             0.51298,             0.36091,             0.35177,             0.15696,            0.088899,             0.27188,             0.01214,             0.10886,           0.0067495,           0.0067495,           0.0067495
                  90,            0.097355,             0.19337,           0.0098887,             0.12048,              0.4831,              0.3258,             0.34123,             0.13853,            0.090575,             0.27874,            0.012884,             0.10926,           0.0066877,           0.0066877,           0.0066877
                  91,            0.095584,             0.18992,           0.0098584,             0.12032,             0.52263,             0.32894,             0.33646,             0.14641,            0.090752,             0.27171,            0.013044,             0.10854,           0.0066257,           0.0066257,           0.0066257
                  92,            0.096595,             0.19019,           0.0093753,             0.12008,              0.6174,              0.3439,             0.35213,             0.15123,            0.091163,             0.27087,            0.012303,             0.10908,           0.0065636,           0.0065636,           0.0065636
                  93,             0.09516,             0.17408,           0.0098259,             0.11866,             0.60759,             0.32475,             0.33609,             0.13576,            0.092027,             0.26763,            0.012315,             0.10811,           0.0065013,           0.0065013,           0.0065013
                  94,             0.09529,             0.18714,           0.0098945,             0.11952,              0.5313,             0.34982,             0.35218,             0.15434,            0.090188,             0.27044,            0.012322,             0.10833,           0.0064389,           0.0064389,           0.0064389
                  95,            0.095913,              0.2007,            0.010225,             0.11941,             0.54352,             0.33387,              0.3429,             0.15252,            0.089128,             0.27384,              0.0118,             0.10755,           0.0063764,           0.0063764,           0.0063764
                  96,            0.095875,             0.20037,           0.0096977,             0.11888,             0.56196,             0.31638,             0.32941,              0.1472,             0.09022,             0.27173,            0.011941,             0.10783,           0.0063138,           0.0063138,           0.0063138
                  97,            0.095368,             0.19023,           0.0092344,             0.11764,             0.51527,             0.34409,             0.33883,             0.14321,            0.089694,             0.27351,            0.012613,             0.10749,           0.0062512,           0.0062512,           0.0062512
                  98,            0.096423,             0.19873,           0.0090774,             0.11826,             0.62066,             0.34448,             0.35495,             0.16089,            0.089573,             0.27051,            0.012123,              0.1085,           0.0061884,           0.0061884,           0.0061884
                  99,            0.096515,             0.19014,           0.0099624,             0.12032,             0.63376,             0.33714,             0.35752,             0.15685,            0.090607,             0.27408,            0.012796,             0.10742,           0.0061256,           0.0061256,           0.0061256
                 100,            0.097207,             0.19644,            0.010377,             0.11879,             0.48244,             0.35748,             0.36561,             0.15383,            0.088007,             0.27638,            0.012257,             0.10665,           0.0060628,           0.0060628,           0.0060628
                 101,            0.095928,             0.19235,           0.0093842,             0.11806,             0.60508,             0.35317,             0.37262,             0.16182,             0.08937,             0.27247,            0.012279,             0.10666,               0.006,               0.006,               0.006
                 102,            0.095377,             0.19293,           0.0088538,              0.1175,             0.60305,             0.35448,             0.36017,             0.15646,            0.089886,             0.27077,            0.012154,             0.10685,           0.0059372,           0.0059372,           0.0059372
